src,trg
2dy,today
2day,today
2m,tomorrow
2mrw,tomorrow
2,to
2,two
abt,about
bday,birthday
bro,brother
bruh,brother
cont,continued
cos,because
coz,because
cuz,because
da,the
dats,thats
dat,that
datz,thats
deets,details
dis,this
d,the
em,them
fab,fabulous
fave,favourite
fav,favorite
fav,favourite
fwd,forward
fwds,forwards
gon,gonna
jus,just
kewl,cool
kno,know
k,ok
lemme,letme
lil,little
mins,minutes
m,am
n,and
o,oh
nd,and
nigga,nigger
niggas,niggers
peeps,people
pic,picture
pics,pictures
pls,please
plz,please
ppl,people
r,are
shud,should
tho,though
thx,thanks
ur,your
u,you
vid,video
vids,videos
wat,what
woz,was
y,why
signore,signor
singnor,signor
residenze,residence
itoliana,italiana
cinama,cinema
al,all
signor,signore
residencie,residence
residenc,residence
tenni,tennis
computere,computer
inernet,internet
accademia,academia
part-taime,part-time
acount,account
formala,formula
aprile,april
camara,camera
comme,come
nummero,numero
agust,august
babby,baby
babysiter,babysitter
siter,sitter
bebi,baby
beby,baby
berif,brief
breif,brief
bickini,bikini
bieref,brief
brif,brief
cheff,chef
ciriculum,curriculum
cirka,circa
contolling,controlling
datun,datum
e-meil,e-mail
exel,excel
folkmusik,folkmusic
musik,music
gerage,garage
grage,garage
gramatik,grammatik
grosse,gross
gug,gut
gumnasium,gymnasium
ideall,ideal
imigration,immigration
inklusiv,inclusive
inklusive,inclusive
komputer,computer
kontekst,context
kontext,context
kontest,contest
konntest,contest
kuzine,cousine
luksemburg,luxemburg
oke,ok
okey,okay
oder,order
foto,photo
fotos,photos
polen,pollen
possitive,positive
programm,program
projekt,project
resaurant,restaurant
restorant,restaurant
restraunts,restaurants
resturant,restaurant
segretation,segregation
semestre,semester
senter,center
tehater,theater
wil,will
jan,january
januar,january
feb,february
februar,february
mar,march
apr,april
jun,june
jul,july
aug,august
sep,september
oct,october
octo,october
nov,november
novem,november
dec,december
decem,december
beaf,beef
deliberatly,deliberately
isan't,isn't
malashian,malaysian
unfortunatelly,unfortunately
whene,when
bootles,bottles
supervice,supervise
smoth,smooth
addtion,addition
usualy,usually
neccesary,necessary
deskes,desks
advertisment,advertisement
immunse,immune
departament,department
frinds,friends
informations,information
discrinination,discrimination
desapier,disappear
esspacially,especially
thousents,thousands
strated,started
bsg,bag
assistent,assistant
emials,emails
wating,waiting
feets,feet
laughts,laughs
lika,like
abount,about
accompaning,accompanying
accoutant,accountant
additonal,additional
affirmativ,affirmative
agian,again
allthough,although
allways,always
althogh,although
alway,always
anglich,english
ann,and
apartament,apartment
apearss,appears
aquity,equity
ar,are
ariving,arriving
avaiable,available
ballon,balloon
bathroon,bathroom
beautifull,beautiful
