src,trg
fay,far
fectival,festival
feed,feet
feet,feed
feets,feeds
feld,felt
fense,fence
fet,fed
fich,fish
ficherman,fisherman
file,five
finanse,finance
finansial,financial
finiched,finished
fis,his
fith,with
flame,frame
flesh,fresh
fliendly,friendly
flisbee,frisbee
flooting,flooding
florita,florida
flustrating,frustrating
fol,for
folks,forks
food,foot
foodball,football
foosball,football
foot,food
footpall,football
foots,foods
forges,forget
forse,force
fouy,four
foy,for
franse,france
frashlight,flashlight
frattered,flattered
frech,fresh
frensh,french
frient,friend
fright,flight
frond,front
frora,flora
frossington,flossington
fruently,fluently
fruids,fruits
frustraded,frustrated
garlis,garlic
garten,garden
gatget,gadget
ged,get
glasslands,grasslands
gloceries,groceries
goot,good
grad,glad
graduade,graduate
graduaded,graduated
graduatet,graduated
grand,grant
grandshildren,grandchildren
grantfather,grandfather
grap,grab
grate,grade
gratuate,graduate
gratuated,graduated
gratuating,graduating
gratuation,graduation
greacy,greasy
gread,great
grobal,global
groseries,groceries
grosery,grocery
grount,ground
guess,guest
guidar,guitar
hac,has
had,hat
hads,hats
hart,hard
hat,had
hat,has
headpfones,headphones
heart,heard
heat,head
heatphones,headphones
helpet,helped
helself,herself
hinally,finally
hind,hint
hobe,hope
humit,humid
hund,hunt
hundret,hundred
husbant,husband
huspand,husband
idendity,identity
identidy,identity
immediatery,immediately
importand,important
improvmment,improvement
incledible,incredible
includet,included
increace,increase
increating,increasing
incurance,insurance
independense,independence
indepentent,independent
indroduce,introduce
indusdry,industry
inexpencive,inexpensive
inherid,inherit
injurance,insurance
innocense,innocence
insencitive,insensitive
insistet,insisted
instand,instant
institudes,institutes
instrustion,instruction
insulance,insurance
insuranse,insurance
intence,intense
intension,intention
intensitive,insensitive
intent,intend
interect,interest
interess,interest
interessed,interested
interessing,interesting
interestet,interested
introduse,introduce
introtuction,introduction
invide,invite
invitet,invited
invitet,invites
invoises,invoices
ise,ice
itarian,italian
itary,italy
iteas,ideas
itserf,itself
jacked,jacket
jasket,jacket
jop,job
jops,jobs
juct,just
juise,juice
jumb,jump
kending,kenting
kerboard,keyboard
kerboards,keyboards
keyboarts,keyboards
keyboayds,keyboards
keypoards,keyboards
kids,kits
kindergarden,kindergarten
kits,kids
kitshen,kitchen
knocket,knocked
labtop,laptop
laspberry,raspberry
launtry,laundry
leadel,leader
leal,real
leat,lead
led,let
lelax,relax
lester,lesser
let,led
lettuse,lettuce
lettuses,lettuces
libraly,library
light,right
liquits,liquids
lisence,licence
lissen,listen
lissening,listening
liverpoor,liverpool
load,road
lock,rock
logictics,logistics
lout,loud
lunsh,lunch
lusy,lucy
lylics,lyrics
majoy,major
majoyed,majored
maket,makes
marked,market
market,marked
marrakech,marrakesh
marriet,married
marsh,march
mashine,machine
mashines,machines
mead,meat
medisine,medicine
medisines,medicines
meed,meet
mempership,membership
mensioned,mentioned
midlants,midlands
mint,mind
mise,mice
mitnight,midnight
mob,mop
moppet,mopped
motivatet,motivated
mouce,mouse
mouces,mouses
mpa,mba
muchrooms,mushrooms
muchy,mushy
mucic,music
mush,much
musis,music
muss,must
mustart,mustard
nansy,nancy
nationarity,nationality
necklase,necklace
necklases,necklaces
neet,need
nesessary,necessary
newspapel,newspaper
nexs,next
nise,nice
nod,not
noice,noise
noices,noises
noicy,noisy
numper,number
nurce,nurse
nutrisionist,nutritionist
oben,open
obrigations,obligations
obsectively,objectively
occacionally,occasionally
occation,occasion
occationally,occasionally
octoper,october
offise,office
older,order
oldered,ordered
onse,once
opjective,objective
opposide,opposite
order,older
organice,organise
organitations,organisations
osean,ocean
ostober,october
oud,out
outsite,outside
overcoad,overcoat
oxfort,oxford
pachelor,bachelor
packaget,packaged
packpack,backpack
pad,bad
padminton,badminton
pag,bag
pananas,bananas
pands,pants
pank,bank
papel,paper
parashute,parachute
parashuting,parachuting
particibate,participate
participade,participate
partisipants,participants
partisipate,participate
partisipated,participated
pasific,pacific
pass,past
patiens,patient
pean,bean
peans,beans
pease,peace
peautiful,beautiful
peef,beef
peer,beer
pelt,belt
pelts,belts
pensils,pencils
percon,person
perhabs,perhaps
persent,percent
persentage,percentage
pfone,phone
pharmasist,pharmacist
pharmasy,pharmacy
phopia,phobia
pieses,pieces
pirthday,birthday
placec,places
plactic,plastic
plactical,practical
plactice,practice
plase,place
plased,placed
plases,places
pleace,please
plices,prices
ploblem,problem
ploblems,problems
plogs,blogs
plue,blue
plurb,blurb
poind,point
polarit,polaris
polisy,policy
polyestel,polyester
poring,boring
posision,position
possipilities,possibilities
possiple,possible
potensial,potential
potition,position
pottle,bottle
pottles,bottles
pounts,pounds
praces,places
practicing,practising
practise,practice
practising,practicing
prastic,plastic
preakfast,breakfast
preasure,pleasure
presense,presence
prevend,prevent
primaly,primary
pring,bring
prise,price
prises,prices
probrem,problem
prochure,brochure
produse,produce
prodused,produced
produser,producer
produsing,producing
produsts,products
promice,promise
promotet,promoted
propably,probably
properdy,property
proplem,problem
proplems,problems
proporsion,proportion
prosedure,procedure
prosedures,procedures
protect,protest
prother,brother
prothers,brothers
prush,brush
punsh,punch
punstual,punctual
pup,pub
puplic,public
purble,purple
purshase,purchase
purshased,purchased
purshasing,purchasing
pus,bus
put,but
puying,buying
quarity,quality
raincoad,raincoat
rapit,rapid
rarery,rarely
raspperry,raspberry
reader,leader
realice,realise
rearly,really
reat,read
recearch,research
recemble,resemble
recentry,recently
recervations,reservations
recomment,recommend
reconcider,reconsider
recources,resources
recume,resume
reduse,reduce
redused,reduced
reflesh,refresh
refrech,refresh
regart,regard
regarts,regards
regulay,regular
regurar,regular
regurarly,regularly
relading,relating
relasion,relation
repeaded,repeated
replase,replace
replesentative,representative
represend,represent
rerated,related
reration,relation
resbonsibility,responsibility
resbonsible,responsible
researsh,research
reseived,received
resently,recently
reseption,reception
reseptionist,receptionist
resipe,recipe
resourse,resource
resourses,resources
responce,response
responcible,responsible
responsiple,responsible
respont,respond
restaurand,restaurant
restaurands,restaurants
resuls,result
ret,red
rettuce,lettuce
returnet,returned
revevant,relevant
rigit,rigid
rise,rice
robbet,robbed
rock,lock
rosk,rock
ryrics,lyrics
sadurday,saturday
salaly,salary
salat,salad
salats,salads
san,can
sandwish,sandwich
sandwishes,sandwiches
sarary,salary
sasurdays,saturdays
sat,sad
saticfied,satisfied
saturdar,saturday
saturtay,saturday
sause,sauce
sciense,science
scienses,sciences
sdarts,starts
sdudent,student
sdudy,study
sdudying,studying
seacon,season
sebtember,september
secont,second
secontly,secondly
secretaly,secretary
seiling,ceiling
selebrate,celebrate
selebration,celebration
selebrities,celebrities
semmed,seemed
sence,sense
sences,senses
send,sent
sent,send
sentensed,sentenced
sentenses,sentences
senter,center
sentimeter,centimeter
senting,sending
sentury,century
septemper,september
